,Rbin,mean,v,npt
10566,174800,763.4427083333334,1.70,9.0
10567,178600,1313.965625,1.70,10.0
10568,175000,1945.4609375,1.70,10.0
10569,183500,1546.7998511904761,1.70,21.0
10570,185700,1482.7837171052631,1.70,19.0
10571,190100,21.80345394736842,1.70,19.0
10572,152700,6288.1484375,1.70,2.0
10573,161600,2619.8203125,1.70,6.0
10574,165300,2771.90625,1.70,3.0
10575,172900,664.1354166666666,1.70,6.0
10576,180400,2667.6180555555557,1.70,9.0
10577,189600,790.87875,1.70,25.0
10578,189700,2063.5364583333335,1.70,27.0
10579,221200,-5161.421875,1.70,5.0
10580,218900,-3002.821875,1.70,10.0
10581,220700,-622.75625,1.70,5.0
10582,219300,-3516.6983173076924,1.70,13.0
10583,140700,9149.4765625,1.70,2.0
10584,152600,5643.078125,1.70,2.0
10585,156200,3138.515625,1.70,1.0
10586,165800,5614.515625,1.70,2.0
10587,175200,2062.25,1.70,8.0
10588,177900,693.1875,1.70,15.0
10589,184500,306.5751953125,1.70,16.0
10590,175700,4298.734375,1.70,6.0
10591,195500,1222.0995065789473,1.70,38.0
10592,199200,807.9869186046511,1.70,43.0
10593,141800,8235.875,1.70,1.0
10594,150000,7944.145833333333,1.70,3.0
10595,155000,4405.4140625,1.70,4.0
10596,158900,2285.8072916666665,1.70,3.0
10597,162300,3400.265625,1.70,7.0
10598,167300,1602.2611607142858,1.70,7.0
10599,166300,2504.25,1.70,4.0
10600,167600,2894.03125,1.70,4.0
10601,176300,590.18125,1.70,5.0
10602,177000,998.5691964285714,1.70,7.0
10603,180100,236.15494791666666,1.70,12.0
10604,177500,23.709375,1.70,5.0
10605,179400,1394.4622395833333,1.70,12.0
10606,181300,607.8685661764706,1.70,17.0
10607,194200,768.0909926470588,1.70,34.0
10608,148700,11527.0078125,1.70,2.0
10609,159500,2129.171875,1.70,2.0
10610,161500,2657.9875,1.70,5.0
10611,166700,3197.9125,1.70,5.0
10612,168800,2236.584375,1.70,5.0
10613,169500,2961.8333333333335,1.70,3.0
10614,179700,1453.3177083333333,1.70,9.0
10615,177600,2688.833984375,1.70,16.0
10616,178100,-138.662109375,1.70,8.0
10617,180500,1246.0875,1.70,15.0
10618,187700,785.7389705882352,1.70,17.0
10619,161100,6642.9140625,1.70,2.0
10620,165000,6592.786458333333,1.70,6.0
10621,180200,-1677.140625,1.70,7.0
10622,186000,1854.294034090909,1.70,11.0
10623,148000,5608.875,1.70,1.0
10624,153600,6435.9296875,1.70,2.0
10625,162700,2467.421875,1.70,2.0
10626,164300,1246.08984375,1.70,4.0
10627,167000,3378.86875,1.70,5.0
10628,173400,3853.734375,1.70,10.0
10629,185200,1951.76953125,1.70,16.0
10630,187300,1526.2993421052631,1.70,19.0
10631,148200,5906.703125,1.70,1.0
10632,154100,7351.34375,1.70,2.0
10633,159600,3589.109375,1.70,4.0
10634,161200,2109.78125,1.70,1.0
10635,163300,2722.90625,1.70,4.0
10636,166800,1979.703125,1.70,7.0
10637,168100,3303.203125,1.70,1.0
10638,171400,686.5,1.70,3.0
10639,173500,720.1796875,1.70,2.0
10640,187100,998.803125,1.70,20.0
10641,143000,9849.3515625,1.70,2.0
10642,155100,3753.0572916666665,1.70,3.0
10643,163700,268.46875,1.70,1.0
10644,164000,770.34375,1.70,1.0
10645,164700,4082.5390625,1.70,4.0
10646,164600,4084.25,1.70,2.0
10647,174400,1161.314732142857,1.70,7.0
10648,138200,6139.5546875,1.70,2.0
10649,145600,7535.994791666667,1.70,3.0
10650,153200,3753.78125,1.70,3.0
10651,152300,4951.046875,1.70,1.0
10652,157200,1508.0729166666667,1.70,3.0
10653,158500,1957.34375,1.70,3.0
10654,163000,3898.5390625,1.70,4.0
10655,168300,1994.7083333333333,1.70,9.0
10656,170200,2088.5885416666665,1.70,3.0
10657,144300,6080.390625,1.70,1.0
10658,150400,-933.25,1.70,1.0
10659,149500,9680.78125,1.70,1.0
10660,166100,2603.8515625,1.70,4.0
10661,172200,195.421875,1.70,5.0
10662,175300,420.859375,1.70,9.0
10663,173100,-4.697916666666667,1.70,3.0
10664,170600,2848.0234375,1.70,4.0
10665,174000,1761.4765625,1.70,8.0
10666,142400,7935.5,1.70,1.0
10667,150300,4348.78125,1.70,1.0
10668,154700,5221.4296875,1.70,2.0
10669,158000,6559.890625,1.70,2.0
10670,165900,728.203125,1.70,4.0
10671,176600,2378.6859375,1.70,10.0
10672,181900,1961.1761363636363,1.70,11.0
